origin,season,color_name,size,adventurous,application,print,nivel,grupo
MAINSTREAM,8,blue_dark,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,grey_dark,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,L,two,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,M,two,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,S,two,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,XS,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_dark,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,black,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,black,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,black,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,black,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,blue_turquoise,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,gray_light,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,green_dark,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,pink,XXL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,rust,XXL,three,freetime,smooth,3,abrigo
WHOLE_SALE,7,grey_dark,L,four,freetime,animal_print,3,abrigo
WHOLE_SALE,7,grey_dark,M,four,freetime,animal_print,3,abrigo
WHOLE_SALE,7,grey_dark,S,four,freetime,animal_print,3,abrigo
MAINSTREAM,8,brown,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,brown,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,brown,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,brown,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,brown,XS,three,freetime,smooth,3,abrigo
MAINSTREAM,8,brown,XXL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,L,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,M,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,S,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XS,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XXL,two,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,blue_dark,XXXL,two,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,L,three,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,M,three,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,S,three,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,XL,three,freetime,smooth,3,abrigo
MAINSTREAM,8,camel,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,L,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,M,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,S,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,black,XXL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,L,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,M,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,S,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,XL,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,XS,three,freetime,smooth,3,abrigo
NO_MAINSTREAM,8,garnet,XXL,three,freetime,smooth,3,abrigo
